Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
1	A1	Blank	NA	Blank	NO2	Water	1	NA
1	A2	Blank	NA	Blank	NO2	Water	1	NA
1	B1	Std 1	NA	Standard	NO2	Water	1	7.8125
1	B2	Std 1	NA	Standard	NO2	Water	1	7.8125
1	C1	Std 2	NA	Standard	NO2	Water	1	15.625
1	C2	Std 2	NA	Standard	NO2	Water	1	15.625
1	D1	Std 3	NA	Standard	NO2	Water	1	31.25
1	D2	Std 3	NA	Standard	NO2	Water	1	31.25
1	E1	Std 4	NA	Standard	NO2	Water	1	62.5
1	E2	Std 4	NA	Standard	NO2	Water	1	62.5
1	F1	Std 5	NA	Standard	NO2	Water	1	125
1	F2	Std 5	NA	Standard	NO2	Water	1	125
1	G1	Std 6	NA	Standard	NO2	Water	1	250
1	G2	Std 6	NA	Standard	NO2	Water	1	250
1	H1	Std 7	NA	Standard	NO2	Water	1	500
1	H2	Std 7	NA	Standard	NO2	Water	1	500
1	A3	U1	1	Unknown	NO2	Water	1	NA
1	A4	U1	1	Unknown	NO2	Water	1	NA
1	B3	U1	2	Unknown	NO2	Water	1	NA
1	B4	U1	2	Unknown	NO2	Water	1	NA
1	C3	U1	3	Unknown	NO2	Water	1	NA
1	C4	U1	3	Unknown	NO2	Water	1	NA
1	D3	U2	1	Unknown	NO2	Water	1	NA
1	D4	U2	1	Unknown	NO2	Water	1	NA
1	E3	U2	2	Unknown	NO2	Water	1	NA
1	E4	U2	2	Unknown	NO2	Water	1	NA
1	F3	U2	3	Unknown	NO2	Water	1	NA
1	F4	U2	3	Unknown	NO2	Water	1	NA
1	G3	U4	1	Unknown	NO2	Water	1	NA
1	G4	U4	1	Unknown	NO2	Water	1	NA
1	H3	U4	2	Unknown	NO2	Water	1	NA
1	H4	U4	2	Unknown	NO2	Water	1	NA
1	A5	U4	3	Unknown	NO2	Water	1	NA
1	A6	U4	3	Unknown	NO2	Water	1	NA
1	B5	U5	1	Unknown	NO2	Water	1	NA
1	B6	U5	1	Unknown	NO2	Water	1	NA
1	C5	U5	2	Unknown	NO2	Water	1	NA
1	C6	U5	2	Unknown	NO2	Water	1	NA
1	D5	U5	3	Unknown	NO2	Water	1	NA
1	D6	U5	3	Unknown	NO2	Water	1	NA
1	E5	U6	1	Unknown	NO2	Water	1	NA
1	E6	U6	1	Unknown	NO2	Water	1	NA
1	F5	U6	2	Unknown	NO2	Water	1	NA
1	F6	U6	2	Unknown	NO2	Water	1	NA
1	G5	U6	3	Unknown	NO2	Water	1	NA
1	G6	U6	3	Unknown	NO2	Water	1	NA
1	H5	U7	1	Unknown	NO2	Water	1	NA
1	H6	U7	1	Unknown	NO2	Water	1	NA
1	A7	U7	2	Unknown	NO2	Water	1	NA
1	A8	U7	2	Unknown	NO2	Water	1	NA
1	B7	U7	3	Unknown	NO2	Water	1	NA
