"Plate_number"	"Sample_name"	"Replicate"	"Treatment"	"Dilution_factor"	"Blanking_group"	"Ave_abs"	"StdDev_abs"	"Ave_abs_blanked"	"Ave_concentration_uM"	"StdDev_Concentration_uM"
1	"U1"	1	"NO2"	1	"Water"	0.3596	0.00367695526217007	0.33375	264.056517580444	3.889355690419
1	"U1"	2	"NO2"	1	"Water"	0.0294	0.000141421356237309	0.00355	-85.217584878557	0.149590603477652
1	"U1"	3	"NO2"	1	"Water"	0.03075	0.00289913780286485	0.0049	-83.7896017219257	3.06660737129188
1	"U10"	1	"NO2"	1	"Water"	0.2546	0.000282842712474627	0.22875	152.991160953566	0.299181206955314
1	"U10"	2	"NO2"	1	"Water"	0.18475	0.00190918830920366	0.1589	79.106254664162	2.0194731469483
1	"U10"	3	"NO2"	1	"Water"	0.10295	0.00205060966544099	0.0771	-7.41894697468199	2.16906375042597
1	"U11"	1	"NO2"	1	"Water"	0.0956	0.000424264068711931	0.06975	-15.1935219385635	0.448771810432961
1	"U11"	2	"NO2"	1	"Water"	0.10765	0.00261629509039022	0.0818	-2.4474500590027	2.76742616433657
1	"U11"	3	"NO2"	1	"Water"	0.11895	0.00318198051533947	0.0931	9.50529784465179	3.36578857824719
1	"U12"	1	"NO2"	1	"Water"	0.11625	0.00247487373415291	0.0904	6.64933153138921	2.61783556085892
1	"U12"	2	"NO2"	1	"Water"	0.12795	0.00318198051533947	0.1021	19.0251855555271	3.36578857824719
1	"U12"	3	"NO2"	1	"Water"	0.2145	0.00169705627484772	0.18865	110.574772375111	1.79508724173184
1	"U13"	1	"NO2"	1	"Water"	0.2145	0.000424264068711921	0.18865	110.574772375111	0.448771810432951
1	"U13"	2	"NO2"	1	"Water"	0.2289	0.000424264068711921	0.20305	125.806592712511	0.448771810432951
1	"U13"	3	"NO2"	1	"Water"	0.22945	7.07106781186666e-05	0.2036	126.388363628176	0.0747953017388389
1	"U2"	1	"NO2"	1	"Water"	0.13795	0.000212132034355961	0.1121	29.6028385676107	0.224385905216475
1	"U2"	2	"NO2"	1	"Water"	0.1365	0.000707106781186548	0.11065	28.0690788808586	0.747953017388265
1	"U2"	3	"NO2"	1	"Water"	0.1165	0.00169705627484771	0.09065	6.9137728566913	1.79508724173183
1	"U4"	1	"NO2"	1	"Water"	0.32435	0.000636396103067862	0.2985	226.770290712849	0.673157715649405
1	"U4"	2	"NO2"	1	"Water"	0.24645	0.00176776695296637	0.2206	144.370373748718	1.86988254347066
1	"U4"	3	"NO2"	1	"Water"	0.255	0.000848528137423842	0.22915	153.414267074049	0.897543620865901
1	"U5"	1	"NO2"	1	"Water"	0.1886	0.0014142135623731	0.16275	83.1786510738142	1.49590603477653
1	"U5"	2	"NO2"	1	"Water"	0.10315	0.00346482322781408	0.0773	-7.20739391444034	3.66496978520249
1	"U5"	3	"NO2"	1	"Water"	0.10625	0.0166170093578839	0.0804	-3.92832148069441	17.5768959086242
1	"U6"	1	"NO2"	1	"Water"	0.10895	0.000494974746830578	0.0831	-1.07235516743184	0.523567112171779
1	"U6"	2	"NO2"	1	"Water"	0.1135	0.00212132034355964	0.08765	3.74047695306622	2.24385905216479
1	"U6"	3	"NO2"	1	"Water"	0.11525	0.00106066017177982	0.0894	5.59156623018086	1.1219295260824
1	"U7"	1	"NO2"	1	"Water"	0.1297	0.000848528137423862	0.10385	20.8762748326417	0.897543620865922
1	"U7"	2	"NO2"	1	"Water"	0.0294	0.00169705627484771	0.00355	-85.217584878557	1.79508724173183
1	"U7"	3	"NO2"	1	"Water"	0.0304	0.000282842712474617	0.00455	-84.1598195773487	0.299181206955304
1	"U8"	1	"NO2"	1	"Water"	0.0305	0.00226274169979695	0.00465	-84.0540430472279	2.39344965564244
1	"U8"	2	"NO2"	1	"Water"	0.223	0.0106066017177982	0.19715	119.565777435382	11.219295260824
1	"U8"	3	"NO2"	1	"Water"	0.1604	0.00523259018078044	0.13455	53.3496695797384	5.53485232867314
1	"U9"	1	"NO2"	1	"Water"	0.48295	0.0132228968081884	0.4571	394.531867484496	13.9867214251605
1	"U9"	2	"NO2"	1	"Water"	0.3663	0.00806101730552666	0.34045	271.14354509854	8.52666439822622
1	"U9"	3	"NO2"	1	"Water"	0.24455	0.000353553390593274	0.2187	142.360619676422	0.373976508694132
2	"U14"	1	"NO2"	1	"Water"	0.3253	0.00692964645562815	0.29625	242.125044381481	7.84055727658803
2	"U14"	2	"NO2"	1	"Water"	0.0367	0.000707106781186543	0.00765	-84.4117918788321	0.80005686495796
2	"U14"	3	"NO2"	1	"Water"	0.0352	0.00056568542494924	0.00615	-86.108968782472	0.640045491966373
2	"U15"	1	"NO2"	1	"Water"	0.2189	0.00212132034355964	0.18985	121.738629349959	2.4001705948739
2	"U15"	2	"NO2"	1	"Water"	0.19625	7.0710678118647e-05	0.1672	96.1112581049964	0.0800056864957876
2	"U15"	3	"NO2"	1	"Water"	0.15335	0.00148492424049176	0.1243	47.5719986608958	1.68011941641174
2	"U16"	1	"NO2"	1	"Water"	0.03895	0.00346482322781408	0.0099	-81.8660265233723	3.92027863829403
